date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:26:07	121660/121660	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202022%2006:25:54%20GMT	https://bio.link/tungtungop	C:/Users/FAMILY/Desktop/bio/bio.link/tungtungop.html	(from )
01:26:08	44/44	---M-Z	200	added ('OK')	text/plain	etag:%2260a5e664-18%22	https://bio.link/robots.txt		(from )
01:26:09	25380/25380	---M--	200	added ('OK')	image/png	etag:%2260c8c51e-6324%22	https://bio.link/apple-touch-icon.png	C:/Users/FAMILY/Desktop/bio/bio.link/apple-touch-icon.png	(from https://bio.link/tungtungop)
01:26:09	152347/152347	---M--	200	added ('OK')	image/png	etag:%2203ed29b4ff9988a49318a400fbad6c42%22	https://cdn.bio.link/uploads/profile_pictures/2022-12-18/1ExVHTlni1rp85pkqFLn7hzYwC8MUGww.png	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/uploads/profile_pictures/2022-12-18/1ExVHTlni1rp85pkqFLn7hzYwC8MUGww.png	(from https://bio.link/tungtungop)
01:26:10	263/263	---M-Z	200	added ('OK')	application/json	etag:%2260c8c51e-107%22	https://bio.link/manifest.json	C:/Users/FAMILY/Desktop/bio/bio.link/manifest.json	(from https://bio.link/tungtungop)
01:26:10	70857/70857	---M--	200	added ('OK')	image/png	etag:%2262ea0039-114c9%22	https://bio.link/images/flags.png?007b2705c0a8f69dfdf6ea1bfa0341c9	C:/Users/FAMILY/Desktop/bio/bio.link/images/flags11db.png	(from https://bio.link/tungtungop)
01:26:11	174369/174369	---M--	200	added ('OK')	image/png	etag:%2262ea0039-2a921%22	https://bio.link/images/flags@2x.png?9d5328fb490cddd43f6698012123404b	C:/Users/FAMILY/Desktop/bio/bio.link/images/flags@2x00a3.png	(from https://bio.link/tungtungop)
01:26:12	361/361	---M-Z	200	added ('OK')	application/javascript	etag:%2282bfd941d2c9b3b9e0650a27c9d11737%22	http://assets.pinterest.com/js/pinit.js	C:/Users/FAMILY/Desktop/bio/assets.pinterest.com/js/pinit.js	(from https://bio.link/tungtungop)
01:26:12	884/884	---MC-	200	added ('OK')	text/javascript	date:Sun,%2018%20Dec%202022%2006:25:58%20GMT	https://www.google.com/recaptcha/api.js?render=6LfqC6UfAAAAAGBZ85tr2dDVF66wAn47uYP6_qoj	C:/Users/FAMILY/Desktop/bio/www.google.com/recaptcha/apidedb.js	(from https://bio.link/tungtungop)
01:26:12	35890/35890	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Dec%202022%2006:26:00%20GMT	https://bio.link/cdn-cgi/challenge-platform/h/g/scripts/alpha/invisible.js?ts=	C:/Users/FAMILY/Desktop/bio/bio.link/cdn-cgi/challenge-platform/h/g/scripts/alpha/invisible5615.js	(from https://bio.link/tungtungop)
01:26:12	1321/1321	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Dec%202022%2006:26:00%20GMT	https://plausible.io/js/plausible.js	C:/Users/FAMILY/Desktop/bio/plausible.io/js/plausible.js	(from https://bio.link/tungtungop)
01:26:13	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2018%20Dec%202022%2006:26:00%20GMT	https://www.tiktok.com/embed.js	C:/Users/FAMILY/Desktop/bio/www.tiktok.com/embed.a.delayed	(from https://bio.link/tungtungop)
01:26:13	47545/47545	---M-Z	200	added ('OK')	application/javascript	etag:CPXr0NbkkPsCEAE=	https://lf16-tiktok-web.ttwstatic.com/obj/tiktok-web/tiktok/falcon/embed/embed_v1.0.11.js	C:/Users/FAMILY/Desktop/bio/lf16-tiktok-web.ttwstatic.com/obj/tiktok-web/tiktok/falcon/embed/embed_v1.0.11.js	(from https://bio.link/tungtungop)
01:26:13	30/30	---MC-	401	error ('Unauthorized')	application/json	date:Sun,%2018%20Dec%202022%2006:26:01%20GMT	https://bio.link/api/pages/	C:/Users/FAMILY/Desktop/bio/bio.link/api/pages/index.html	(from https://bio.link/tungtungop)
01:26:14	116431/116431	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202022%2006:26:02%20GMT	https://bio.link/campaign/	C:/Users/FAMILY/Desktop/bio/bio.link/campaign/index.html	(from https://bio.link/tungtungop)
